[GIN] 2025/07/20 - 11:31:42 | 200 |      56.915µs |       127.0.0.1 | GET      "/api/v1/agents"
[GIN] 2025/07/20 - 11:31:42 | 200 |      240.14µs |       127.0.0.1 | GET      "/api/v1/interfaces"
[GIN] 2025/07/20 - 11:31:44 | 200 |       71.57µs |       127.0.0.1 | GET      "/api/v1/agents"
[GIN] 2025/07/20 - 11:31:44 | 200 |     309.971µs |       127.0.0.1 | GET      "/api/v1/interfaces"
[GIN] 2025/07/20 - 11:31:46 | 200 |      72.013µs |       127.0.0.1 | GET      "/api/v1/agents"
[GIN] 2025/07/20 - 11:31:46 | 200 |     251.107µs |       127.0.0.1 | GET      "/api/v1/interfaces"
[GIN] 2025/07/20 - 11:31:48 | 200 |      45.542µs |       127.0.0.1 | GET      "/api/v1/agents"
[GIN] 2025/07/20 - 11:31:48 | 200 |     313.655µs |       127.0.0.1 | GET      "/api/v1/interfaces"
[GIN] 2025/07/20 - 11:31:50 | 200 |      45.484µs |       127.0.0.1 | GET      "/api/v1/agents"
[GIN] 2025/07/20 - 11:31:50 | 200 |     271.127µs |       127.0.0.1 | GET      "/api/v1/interfaces"
[GIN] 2025/07/20 - 11:31:52 | 200 |      52.018µs |       127.0.0.1 | GET      "/api/v1/agents"
[GIN] 2025/07/20 - 11:31:52 | 200 |     278.986µs |       127.0.0.1 | GET      "/api/v1/interfaces"
[GIN] 2025/07/20 - 11:31:54 | 200 |      45.252µs |       127.0.0.1 | GET      "/api/v1/agents"
[GIN] 2025/07/20 - 11:31:54 | 200 |     3.90736ms |       127.0.0.1 | GET      "/api/v1/interfaces"
[GIN] 2025/07/20 - 11:31:56 | 200 |      55.739µs |       127.0.0.1 | GET      "/api/v1/agents"
[GIN] 2025/07/20 - 11:31:56 | 200 |     296.735µs |       127.0.0.1 | GET      "/api/v1/interfaces"
[GIN] 2025/07/20 - 11:31:58 | 200 |      63.418µs |       127.0.0.1 | GET      "/api/v1/agents"
[GIN] 2025/07/20 - 11:31:58 | 200 |     270.572µs |       127.0.0.1 | GET      "/api/v1/interfaces"
[GIN] 2025/07/20 - 11:32:00 | 200 |      96.795µs |       127.0.0.1 | GET      "/api/v1/agents"
[GIN] 2025/07/20 - 11:32:00 | 200 |     324.761µs |       127.0.0.1 | GET      "/api/v1/interfaces"
[GIN] 2025/07/20 - 11:32:02 | 200 |      50.023µs |       127.0.0.1 | GET      "/api/v1/agents"
[GIN] 2025/07/20 - 11:32:02 | 200 |     241.044µs |       127.0.0.1 | GET      "/api/v1/interfaces"
[GIN] 2025/07/20 - 11:32:04 | 200 |      52.707µs |       127.0.0.1 | GET      "/api/v1/agents"
[GIN] 2025/07/20 - 11:32:04 | 200 |     243.692µs |       127.0.0.1 | GET      "/api/v1/interfaces"
[GIN] 2025/07/20 - 11:32:06 | 200 |      83.325µs |       127.0.0.1 | GET      "/api/v1/agents"
[GIN] 2025/07/20 - 11:32:06 | 200 |     287.539µs |       127.0.0.1 | GET      "/api/v1/interfaces"
[GIN] 2025/07/20 - 11:32:08 | 200 |      66.545µs |       127.0.0.1 | GET      "/api/v1/agents"
[GIN] 2025/07/20 - 11:32:08 | 200 |     294.659µs |       127.0.0.1 | GET      "/api/v1/interfaces"
[GIN] 2025/07/20 - 11:32:10 | 200 |      55.447µs |       127.0.0.1 | GET      "/api/v1/agents"
[GIN] 2025/07/20 - 11:32:10 | 200 |     273.477µs |       127.0.0.1 | GET      "/api/v1/interfaces"
[GIN] 2025/07/20 - 11:32:12 | 200 |     102.057µs |       127.0.0.1 | GET      "/api/v1/agents"
[GIN] 2025/07/20 - 11:32:12 | 200 |     304.854µs |       127.0.0.1 | GET      "/api/v1/interfaces"
[GIN] 2025/07/20 - 11:32:14 | 200 |      47.043µs |       127.0.0.1 | GET      "/api/v1/agents"
[GIN] 2025/07/20 - 11:32:14 | 200 |     298.279µs |       127.0.0.1 | GET      "/api/v1/interfaces"
[GIN] 2025/07/20 - 11:32:16 | 200 |      52.067µs |       127.0.0.1 | GET      "/api/v1/agents"
